X;Y;TYPE;SPEED;DIRTYPE;DIRECTION
920.918;4.889.583;3;0;0;0
900.772;4.868.895;3;0;0;0
701.723;5.145.472;3;0;0;0
1.209.917;4.902.806;3;0;0;0
878.524;5.310.248;3;0;0;0
782.528;5.167.222;3;0;0;0
869.668;5.001.000;3;0;0;0
1.241.333;5.131.972;3;0;0;0
821.000;4.885.889;3;0;0;0
805.863;5.227.055;3;0;0;0
1.294.751;5.085.389;3;0;0;0
931.861;4.882.917;3;0;0;0
922.112;4.914.639;3;0;0;0
705.779;5.070.417;3;0;0;0
1.106.225;4.944.099;3;0;0;0
723.635;5.126.789;3;0;0;0
869.444;4.889.194;3;0;0;0
1.158.807;4.813.527;3;0;0;0
879.966;5.305.505;3;0;0;0
875.834;4.962.294;3;0;0;0
1.383.099;5.106.204;3;0;0;0
976.279;5.239.500;3;0;0;0
878.794;5.306.244;3;0;0;0
930.625;4.883.531;3;0;0;0
1.323.472;5.355.694;3;0;0;0
703.640;5.242.642;3;0;0;0
917.918;4.766.722;3;0;0;0
864.694;4.986.528;3;0;0;0
976.500;5.234.278;3;0;0;0
1.236.706;5.132.558;3;0;0;0
913.862;4.769.611;3;0;0;0
920.042;4.768.490;3;0;0;0
822.222;5.313.167;3;0;0;0
763.812;5.190.239;3;0;0;0
881.833;5.304.667;3;0;0;0
805.822;5.227.040;3;0;0;0
847.612;4.948.750;3;0;0;0
1.077.979;5.240.948;3;0;0;0
913.945;4.894.333;3;0;0;0
754.806;5.036.806;3;0;0;0
880.781;5.011.422;3;0;0;0
850.167;5.056.361;3;0;0;0
948.137;4.765.828;3;0;0;0
1.091.389;4.837.750;3;0;0;0
821.576;4.886.307;3;0;0;0
941.472;4.895.278;3;0;0;0
804.111;5.227.222;3;0;0;0
780.251;5.143.232;3;0;0;0
996.173;4.882.303;3;0;0;0
850.171;5.055.131;3;0;0;0
896.320;5.305.737;3;0;0;0
